# CABB 4D8710D5CABB  room fd00:0:3:411:1:200::/88  Unit tz=Asia/Shanghai(UTC+8)
# window 17:44:00-18:02:30 local | source: PG monitor_stream(radar.track) + event_log
# pose: 1=Walking 3=Sitting 4=Standing 7=SuspectedSitOnGround 8=SitOnGround | note: walking / SITONGROUND / Z>80
# ----------------------------------------------------------------------
17:49:23  pose4  z0    xy(-100,  30) tid1   
17:49:25  pose4  z0    xy(-100,  30) tid1   
17:49:25  pose4  z0    xy(-100,  30) tid1   
17:49:27  pose4  z0    xy(-100,  30) tid1   
17:49:27  pose4  z0    xy(-100,  30) tid1   
17:49:28  pose4  z0    xy(-100,  30) tid1   
17:49:29  pose4  z0    xy(-100,  30) tid1   
17:49:30  pose4  z0    xy(-100,  30) tid1   
17:49:32  pose4  z0    xy(-100,  30) tid1   
17:49:32  pose4  z0    xy(-100,  30) tid1   
17:49:33  pose4  z0    xy(-100,  30) tid1   
17:49:34  pose4  z0    xy(-100,  30) tid1   
17:49:35  pose4  z0    xy(-100,  30) tid1   
17:49:36  pose4  z0    xy(-100,  30) tid1   
17:49:37  >>>>>> EVENT: number_people (0)
17:49:37  pose-  z0    xy(   0,   0) tid88  
17:49:38  pose-  z0    xy(   0,   0) tid88  
17:49:39  pose-  z0    xy(   0,   0) tid88  
17:49:54  pose-  z0    xy(   0,   0) tid88  
17:50:23  pose-  z0    xy(   0,   0) tid88  
17:50:55  pose-  z0    xy(   0,   0) tid88  
17:51:27  pose-  z0    xy(   0,   0) tid88  
17:51:59  pose-  z0    xy(   0,   0) tid88  
17:52:30  pose-  z0    xy(   0,   0) tid88  
17:53:02  pose-  z0    xy(   0,   0) tid88  
17:53:34  pose-  z0    xy(   0,   0) tid88  
17:54:06  pose-  z0    xy(   0,   0) tid88  
17:54:37  pose-  z0    xy(   0,   0) tid88  
17:55:09  pose-  z0    xy(   0,   0) tid88  
17:55:42  pose-  z0    xy(   0,   0) tid88  
17:56:13  pose-  z0    xy(   0,   0) tid88  
17:56:45  pose-  z0    xy(   0,   0) tid88  
17:57:16  pose-  z0    xy(   0,   0) tid88  
17:57:48  pose-  z0    xy(   0,   0) tid88  
17:58:19  pose-  z0    xy(   0,   0) tid88  
17:58:51  pose-  z0    xy(   0,   0) tid88  
17:59:23  pose-  z0    xy(   0,   0) tid88  
17:59:57  pose-  z0    xy(   0,   0) tid88  
18:00:26  pose-  z0    xy(   0,   0) tid88  
18:00:59  pose-  z0    xy(   0,   0) tid88  
18:01:30  pose-  z0    xy(   0,   0) tid88  
18:02:02  pose-  z0    xy(   0,   0) tid88  

# =====================================================================
# MARKED POINTS  (PG turning point  x  Xsensor.log belief state)
# columns: time | pose | z | event | stillboxSec | stillsec | ratio | SFall | SLeft
# real person = pose3 track @xy(-40,290); ghost = pose4 @xy(10,160)/(-20,150)
# =====================================================================
time      event                        track(pose/z/pres)         -     stillboxSec stillsec  ratio   SFall   SLeft  
------------------------------------------------------------------------------------------------------------------------
17:44:37  EnterRoom (people=1)         pose4 z95 P xy(-40,330)          0         0         -       0.000  0.037
17:44:38  walking start                pose4 z88 P xy(-40,320)          0         0         -       0.001  0.013
17:44:54  z<30 (z->0)                  pose1 z47 P xy(-56,297)          0         0         -       0.035  0.018
