mdt	device_uid	topic_type	category	data_value
2026-05-04 00:05:12.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:13.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:14.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:15.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:16.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:17.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 89, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:18.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:19.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:20.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:21.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 89, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:22.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:23.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:24.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:25.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:26.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:27.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:28.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:29.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:30.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:31.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:32.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:33.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 30, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
